CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
21911184  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,ADMINISTRACIÓN I              ,SD,FCAS,Finanzas
21911184  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,OFIMÁTICA I                   ,SD,FCAS,Finanzas
21911313  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,60.00,4,4,SOCIOLOGÍA                    ,SD,FCAS,Diseño Gráf.
21911313  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,60.00,4,4,HISTORIA DE HONDURAS          ,SD,FCAS,Diseño Gráf.
21911313  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,60.00,4,4,ESPAÑOL                       ,SD,FCAS,Diseño Gráf.
21911313  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,60.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Diseño Gráf.
21511347  ,FEMENINO,UNITEC-SPS,PREGRADO,60.83,69.00,13.00,61.00,1,1,OFIMÁTICA II                  ,RET,FCAS,Mkt y Negocios
21851135  ,FEMENINO,UNITEC-SPS,PREGRADO,72.71,72.71,2.00,58.00,3,3,ECOLOGÍA                      ,SD,FCAS,Mkt y Negocios
21851135  ,FEMENINO,UNITEC-SPS,PREGRADO,72.71,72.71,2.00,58.00,3,3,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Mkt y Negocios
21851135  ,FEMENINO,UNITEC-SPS,PREGRADO,72.71,72.71,2.00,58.00,3,3,INTRODUCCION A MERCADOTECNIA  ,SD,FCAS,Mkt y Negocios
21911072  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,INTRODUCCION A MERCADOTECNIA  ,SD,FCAS,Mkt y Negocios
21911072  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Mkt y Negocios
21911072  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,COMUNICACIÓN ORAL Y ESCRITA   ,SD,FCAS,Mkt y Negocios
21911072  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,4,4,OFIMÁTICA AVANZADA            ,SD,FCAS,Mkt y Negocios
21911116  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,2,2,SOCIOLOGÍA                    ,SD,FCAS,Mkt y Negocios
21911116  ,MASCULINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,2,2,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Mkt y Negocios
21911144  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,3,3,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Mkt y Negocios
21911144  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,3,3,INTRODUCCION A MERCADOTECNIA  ,SD,FCAS,Mkt y Negocios
21911144  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,58.00,3,3,SOCIOLOGÍA                    ,SD,FCAS,Mkt y Negocios
21911070  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,INTRODUCCIÓN AL ÁLGEBRA       ,RET,FCAS,Relaciones Int.
21911070  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,ADMINISTRACIÓN I              ,RET,FCAS,Relaciones Int.
21911070  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,INTROD. TEORÍA REL. INTERN.   ,RET,FCAS,Relaciones Int.
21911396  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,INTROD. TEORÍA REL. INTERN.   ,RET,FCAS,Relaciones Int.
21911396  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,ADMINISTRACIÓN I              ,RET,FCAS,Relaciones Int.
21911396  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,65.00,3,3,INTRODUCCIÓN AL ÁLGEBRA       ,RET,FCAS,Relaciones Int.
61321354  ,FEMENINO,UNITEC-SPS,PREGRADO,40.00,0.00,1.00,57.00,1,1,FILOSOFÍA                     ,SD,FCAS,Relaciones Int.
21911085  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,62.00,2,2,INTRODUCCIÓN A LA PSICOLOGÍA  ,SD,FCAS,Psicología
21911085  ,FEMENINO,UNITEC-SPS,PREGRADO,0.00,0.00,0.00,62.00,2,2,BIOLOGÍA                      ,SD,FCAS,Psicología
51653022  ,MASCULINO,UNITEC-DUV,POSTGRADO,84.14,84.00,16.00,19.00,2,2,ELECTIVA TÓPICOS AVANZADOS    ,RET,POSTGRADO,Proyectos
51653022  ,MASCULINO,UNITEC-DUV,POSTGRADO,84.14,84.00,16.00,19.00,2,2,TRABAJO DE TESIS I            ,RET,POSTGRADO,Proyectos
51653019  ,FEMENINO,UNITEC-DUV,POSTGRADO,96.33,96.00,15.00,20.00,1,1,TOPI AVAN EN GER COMP DIRE II ,RET,POSTGRADO,Dir. Empresarial
